month,2504 - 2533,2524 - 2553,2552,2553,2554,2555,2556,2557,2558,2559,2560
jan,9.1,13.3,0,99.9,0.3,44.2,41.2,0,3.5,72.6,45.1
feb,29.9,20,0,2.9,21.8,64.9,7.2,2.1,16.8,0,0
mar,28.6,42.1,30.2,14.6,173.3,24.1,38,39.6,183.9,54.1,106.3
apr,64.7,91.4,359.6,17.3,134.7,56.1,89.9,7.8,128.9,32.1,13.4
may,220.4,247.7,463.4,279.3,296.5,121.9,149.2,99.9,82.5,101.7,486.7
jun,149.3,157.1,219.3,198.8,411.9,134.8,175.6,147.4,459,464.3,228.8
jul,154.5,175.1,175.7,348.7,317.6,196.4,200.1,98.2,220.8,162.7,319.6
aug,196.7,219.3,354,343.1,297,186.6,233.6,276,50.5,348.8,370.7
sep,344.2,334.3,351.8,409.5,223.6,601.1,364.1,188,352.4,356,445.8
oct,241.6,292.1,264.2,256.3,362,201.2,392.3,211.2,334.2,293.8,561.3
nov,48.1,49.5,30.6,30.6,0.9,88.9,79.9,22.5,34.9,121.7,45.6
dec,9.7,6.3,7.3,22.7,0.7,8.1,1.6,31,42.7,0,52.5
