month,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2504_2524,9.1,29.9,28.6,64.7,220.4,149.3,154.5,196.7,344.2,241.6,48.1,9.7
2524_2553,13.3,20,42.1,91.4,247.7,157.1,175.1,219.3,334.3,292.1,49.5,6.3
2552,0,0,30.2,359.6,463.4,219.3,175.7,354,351.8,264.2,30.6,7.3
2553,99.9,2.9,14.6,17.3,279.3,198.8,348.7,343.1,409.5,256.3,30.6,22.7
2554,0.3,21.8,173.3,134.7,296.5,411.9,317.6,297,223.6,362,0.9,0.7
2555,44.2,64.9,24.1,56.1,121.9,134.8,196.4,186.6,601.1,201.2,88.9,8.1
2556,41.2,7.2,38,89.9,149.2,175.6,200.1,233.6,364.1,392.3,79.9,1.6
2557,0,2.1,39.6,7.8,99.9,147.4,98.2,276,188,211.2,22.5,31
2558,3.5,16.8,183.9,128.9,82.5,459,220.8,50.5,352.4,334.2,34.9,42.7
2559,72.6,0,54.1,32.1,101.7,464.3,162.7,348.8,356,293.8,121.7,0
2560,45.1,0,106.3,13.4,486.7,228.8,319.6,370.7,445.8,561.3,45.6,52.5
