2504_2560,years,maxtemp,mintemp,water,rainday,2504_2533,month,maxtemp,mintemp,water,rainday,,,,
,2504_2533,32.73,24.08,1496.8,128,,jan,32,21,9.1,1,,,,
,2524_2553,33.26,24.93,1648.2,128,,feb,32.7,23.3,29.9,3,,,,
,2552,33.83,25.06,"2,256.10",137,,mar,33.7,24.9,28.6,3,,,,
,2553,34.28,26.06,2023.7,141,,aprill,34.9,26.1,64.7,6,,,,
,2554,33.28,25.21,2240.3,161,,may,34,25.6,220.4,16,,,,
,2555,34.22,26.17,1728.3,144,,june,33.1,25.4,149.3,16,,,,
,2556,33.92,25.74,1772.7,148,,ju,32.7,25,154.5,18,,,,
,2557,34.34,25.85,1123.7,125,,august,32.5,24.9,196.7,20,,,,
,2558,34.35,26.05,1910.1,113,,sep,32.3,24.6,344.2,21,,,,
,2559,34.03,26.29,2006.8,115,,oct,32,24.3,241.6,17,,,,
,2560,33.67,25.96,2675.8,139,,nov,31.6,23.1,48.1,6,,,,
,,,,,,,decem,31.3,20.8,9.7,1,,,,
,,,,,,,,,,,,,,,
2524_2553,month,maxtemp,mintemp,water,rainday,2552,month,maxtemp,mintemp,water,rainday,,,,
,jan,32.5,22.6,13.3,1,,jan,31.4,20.8,0,0,,,,
,feb,33.3,24.4,20,3,,feb,34.9,25.2,0,0,,,,
,mar,34.3,25.9,42.1,3,,mar,35.3,26.4,30.2,6,,,,
,aprill,35.4,26.9,91.4,6,,aprill,35.8,26.3,359.6,12,,,,
,may,34.4,26.3,247.7,16,,may,34,25.9,463.4,22,,,,
,june,33.6,26.1,157.1,16,,june,33.5,26.4,219.3,14,,,,
,ju,33.2,25.7,175.1,18,,ju,33.2,25.9,175.7,18,,,,
,august,32.9,25.5,219.3,20,,august,34.1,25.7,354,19,,,,
,sep,32.8,25,334.3,21,,sep,33.9,25.4,351.8,22,,,,
,oct,32.6,24.8,292.1,17,,oct,33.5,24.9,264.2,19,,,,
,nov,32.4,23.9,49.5,6,,nov,33.2,23.9,30.6,3,,,,
,decem,31.7,22,6.3,1,,decem,33.2,23.9,7.3,2,,,,
,,,,,,,,,,,,,,,
2553,month,maxtemp,mintemp,water,rainday,2554,month,maxtemp,mintemp,water,rainday,,,,
,jan,32.9,24.3,99.9,6,,jan,32.5,22.6,0.3,1,,,,
,feb,33.9,26.7,2.9,1,,feb,34.1,25.3,21.8,6,,,,
,mar,35.6,27.1,14.6,3,,mar,31.5,24.1,173.3,11,,,,
,aprill,36.9,28.5,17.3,6,,aprill,34.2,26.1,134.7,8,,,,
,may,36.7,28.2,279.3,15,,may,34.5,26.9,296.5,20,,,,
,june,35.8,27.1,198.8,18,,june,33.7,26.7,411.9,24,,,,
,ju,34.5,26.3,348.7,25,,ju,33.3,25.6,317.6,24,,,,
,august,33.7,25.6,343.1,21,,august,33.2,25.8,297,24,,,,
,sep,33.8,25.5,409.5,20,,sep,33.1,25.7,223.6,22,,,,
,oct,32.3,25.1,256.3,2,,oct,33,25.3,362,19,,,,
,nov,32.7,24.5,30.6,4,,nov,34.2,25.6,0.9,1,,,,
,decem,32.5,23.8,22.7,141,,decem,32,22.8,0.7,1,,,,
,,,,,,,,,,,,,,,
2555,month,maxtemp,mintemp,water,rainday,2556,month,maxtemp,mintemp,water,rainday,,,,
,jan,33.1,25,44.2,8,,jan,33.1,23.9,41.2,6,,,,
,feb,33.6,25.7,64.9,5,,feb,34.7,26.4,7.2,2,,,,
,mar,36,27.1,24.1,3,,mar,35.6,27.3,38,3,,,,
,aprill,36.9,27.8,56.1,6,,aprill,36.3,27.8,89.9,6,,,,
,may,35.6,27.4,121.9,14,,may,36.5,27.7,149.2,15,,,,
,june,34.2,26.8,134.8,13,,june,34.1,26.5,175.6,21,,,,
,ju,33.5,26.1,196.4,21,,ju,33,26.1,200.1,22,,,,
,august,33.5,25.9,186.6,21,,august,33.9,26,233.6,24,,,,
,sep,32.9,25.2,601.1,25,,sep,32.8,25.5,364.1,23,,,,
,oct,33.6,25.8,201.2,16,,oct,32.9,25.3,392.3,14,,,,
,nov,33.6,25.8,88.9,10,,nov,33.3,25.3,79.9,11,,,,
,decem,34.1,25.4,8.1,2,,decem,30.8,21.1,1.6,1,,,,
,,,,,,,,,,,,,,,
2557,month,maxtemp,mintemp,water,rainday,2558,month,maxtemp,mintemp,water,rainday,,,,
,jan,32.1,20.9,0,0,,jan,32.1,22.5,3.5,4,,,,
,feb,33.3,24.7,2.1,2,,feb,33.9,24.9,16.8,3,,,,
,mar,34.7,26.6,39.6,2,,mar,34.8,26.8,183.9,6,,,,
,aprill,36.9,28.2,7.8,2,,aprill,35.6,26.9,128.9,10,,,,
,may,37.4,28.1,99.9,12,,may,36.3,28,82.5,7,,,,
,june,35,27.4,147.4,17,,june,35.3,26.7,459,12,,,,
,ju,34.2,26.8,98.2,16,,ju,34.6,26.8,220.8,13,,,,
,august,33.9,26,276,24,,august,34.7,26.8,50.5,8,,,,
,sep,34.2,26.1,188,20,,sep,34.1,26,352.4,21,,,,
,oct,33.5,25.6,211.2,20,,oct,33,25.8,334.2,20,,,,
,nov,34.4,25.9,22.5,7,,nov,34.4,26.4,34.9,7,,,,
,decem,32.5,23.9,31,3,,decem,33.4,25,42.7,2,,,,
,,,,,,,,,,,,,,,
2559,month,maxtemp,mintemp,water,rainday,2560,month,maxtemp,mintemp,water,rainday,,,,
,jan,32.6,23.9,72.6,8,,jan,32.5,24.8,45.1,4,,,,
,feb,33.5,24.2,0,0,,feb,34.5,25,0,0,,,,
,mar,34.9,27,54.1,2,,mar,35.4,27.1,106.3,5,,,,
,aprill,36.7,28.6,32.1,1,,aprill,36,27.7,13.4,5,,,,
,may,36.3,28.6,101.7,6,,may,34.5,26.8,486.7,18,,,,
,june,33.9,26.7,464.3,16,,june,34.3,26.7,228.8,17,,,,
,ju,33.9,26.7,162.7,13,,ju,33.1,26.1,319.6,15,,,,
,august,34.1,26.9,348.8,19,,august,33.9,26.6,370.7,22,,,,
,sep,33.2,26,356,22,,sep,34.1,26.2,445.8,22,,,,
,oct,33.1,26,293.8,19,,oct,32.6,25.7,561.3,19,,,,
,nov,33.5,26.1,121.7,9,,nov,32.5,25.4,45.6,6,,,,
,decem,32.7,24.8,0,0,,decem,31,23.4,52.5,6,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
years,month,maxtemp,mintemp,water,rainday,,,,,,,,,,
2504_2533,jan,32,21,9.1,1,,,,,,,,,,
2504_2533,feb,32.7,23.3,29.9,3,,,,,,,,,,
2504_2533,mar,33.7,24.9,28.6,3,,,,,,,,,,
2504_2533,aprill,34.9,26.1,64.7,6,,,,,,,,,,
2504_2533,may,34,25.6,220.4,16,,,,,,,,,,
2504_2533,june,33.1,25.4,149.3,16,,,,,,,,,,
2504_2533,ju,32.7,25,154.5,18,,,,,,,,,,
2504_2533,august,32.5,24.9,196.7,20,,,,,,,,,,
2504_2533,sep,32.3,24.6,344.2,21,,,,,,,,,,
2504_2533,oct,32,24.3,241.6,17,,,,,,,,,,
2504_2533,nov,31.6,23.1,48.1,6,,,,,,,,,,
2504_2533,decem,31.3,20.8,9.7,1,,,,,,,,,,
2504_2533,total,32.73,24.08,1496.8,128,,,,,,,,,,
2524_2553,jan,32.5,22.6,13.3,1,,,,,,,,,,
2524_2553,feb,33.3,24.4,20,3,,,,,,,,,,
2524_2553,mar,34.3,25.9,42.1,3,,,,,,,,,,
2524_2553,aprill,35.4,26.9,91.4,6,,,,,,,,,,
2524_2553,may,34.4,26.3,247.7,16,,,,,,,,,,
2524_2553,june,33.6,26.1,157.1,16,,,,,,,,,,
2524_2553,ju,33.2,25.7,175.1,18,,,,,,,,,,
2524_2553,august,32.9,25.5,219.3,20,,,,,,,,,,
2524_2553,sep,32.8,25,334.3,21,,,,,,,,,,
2524_2553,oct,32.6,24.8,292.1,17,,,,,,,,,,
2524_2553,nov,32.4,23.9,49.5,6,,,,,,,,,,
2524_2553,decem,31.7,22,6.3,1,,,,,,,,,,
2524_2553,total,33.26,24.93,1648.2,128,,,,,,,,,,
2552,jan,31.4,20.8,0,0,,,,,,,,,,
2552,feb,34.9,25.2,0,0,,,,,,,,,,
2552,mar,35.3,26.4,30.2,6,,,,,,,,,,
2552,aprill,35.8,26.3,359.6,12,,,,,,,,,,
2552,may,34,25.9,463.4,22,,,,,,,,,,
2552,june,33.5,26.4,219.3,14,,,,,,,,,,
2552,ju,33.2,25.9,175.7,18,,,,,,,,,,
2552,august,34.1,25.7,354,19,,,,,,,,,,
2552,sep,33.9,25.4,351.8,22,,,,,,,,,,
2552,oct,33.5,24.9,264.2,19,,,,,,,,,,
2552,nov,33.2,23.9,30.6,3,,,,,,,,,,
2552,decem,33.2,23.9,7.3,2,,,,,,,,,,
2552,total,33.83,25.06,"2,256.10",137,,,,,,,,,,
2553,jan,32.9,24.3,99.9,6,,,,,,,,,,
2553,feb,33.9,26.7,2.9,1,,,,,,,,,,
2553,mar,35.6,27.1,14.6,3,,,,,,,,,,
2553,aprill,36.9,28.5,17.3,6,,,,,,,,,,
